country,avg(salary_midpoint)
Belize,125000.0
Bahamas,95000.0
Denmark,68768.65671641791
Australia,66891.8918918919
Afghanistan,66250.0
China,54687.5
Canada,52586.206896551725
Estonia,51666.666666666664
Germany,46491.228070175435
Belgium,45989.01098901099
Finland,45714.28571428572
Austria,45465.11627906977
Bahrain,45000.0
Chile,41666.666666666664
Ecuador,40000.0
Andorra,40000.0
France,39648.760330578516
Colombia,33571.42857142857
Algeria,30000.0
Costa Rica,30000.0
Armenia,29285.714285714286
Argentina,27950.819672131147
Bulgaria,27173.91304347826
Burkina,25000.0
Brazil,24047.619047619046
Dominican Republic,22040.816326530614
Czech Republic,18478.260869565216
Egypt,18214.285714285714
Azerbaijan,15000.0
Botswana,15000.0
Croatia,14166.666666666666
Cyprus,12500.0
Belarus,10000.0
Bosnia Herzegovina,10000.0
Georgia,10000.0
Albania,8333.333333333334
Bangladesh,7307.692307692308
Cambodia,5000.0
Bolivia,5000.0
Antigua & Deps,""
El Salvador,""
